Morphology,Seed,Merit_Scaled,Coherence_Ratio,Peak_AF
concentric,67,0.75830332,1.28116887,0.87493991
concentric,68,0.9119072,1.23209695,1.09575006
concentric,69,0.91152916,1.2422455,1.08526497
concentric,70,0.83487946,1.25354825,0.98994377
concentric,71,0.82448443,1.28523695,0.9506344
reticulate,42,1.57855281,1.09577245,2.09768025
reticulate,43,4.11188517,1.04935495,5.59872426
reticulate,44,1.47574074,1.07596568,1.97054036
reticulate,45,4.65161242,1.01847511,6.51276278
reticulate,46,2.89899335,1.06857835,3.89189549
reticulate,47,2.31122138,1.07101048,3.11593054
reticulate,48,1.4378498,1.19250874,1.80181298
reticulate,49,3.15392696,1.04017184,4.34760472
reticulate,50,6.9189835,1.01892199,9.67321974
reticulate,51,2.40889804,1.08401015,3.24864819
reticulate,52,4.4128369,1.0243981,6.1539501
reticulate,53,2.35743068,1.05316182,3.23291911
reticulate,54,5.51495609,1.01142282,7.75997742
reticulate,55,0.95135714,1.29858549,1.08536516
reticulate,56,4.53063785,1.01883705,6.33183247
reticulate,57,4.62961277,1.02263834,6.45777515
reticulate,58,5.48825268,1.02376481,7.64917532
reticulate,59,2.18906174,1.08604665,2.87983975
reticulate,60,4.84082552,1.01935186,6.75978807
reticulate,61,6.59593724,1.01344211,9.25281548
reticulate,62,3.64441987,1.05634678,4.92131707
reticulate,63,3.60537795,1.05145108,4.90154615
reticulate,64,3.70633664,1.03081266,5.12075745
reticulate,65,3.04485814,1.04541595,4.1640103
reticulate,66,7.06667069,1.01749499,9.88783124
reticulate,67,7.83743509,1.01288682,11.02050819
reticulate,68,2.90986262,1.04844573,3.96131397
reticulate,69,2.19219425,1.08211405,2.9214056
reticulate,70,3.79089417,1.03985043,5.20720833
reticulate,71,7.84828528,1.01569031,11.0198588
