Metric,Pair,N,mean_diff,CI_lower,CI_upper,Cohens_d,Hedges_g,p_raw,p_holm,Significant_holm,power
Peak_AF,Fractal vs Botanical,30,-4.187248,-4.969912,-3.451026,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Random,30,-2.457504,-2.902524,-2.043706,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Fibonacci,30,-0.473342,-0.531686,-0.414423,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Voronoi,30,-2.038692,-2.611341,-1.539981,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Hexagonal,30,-0.407673,-0.467047,-0.351112,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Dla,30,-3.136483,-3.779132,-2.515112,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Clusters,30,-1.699938,-2.013236,-1.391824,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Concentric,30,0.035828,-0.010988,0.08281,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Reticulate,30,-4.371778,-5.359607,-3.435294,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Botanical vs Random,30,1.729744,0.89509,2.611072,0.995,0.9821,0.000355,0.012441,yes,0.9663
Peak_AF,Botanical vs Fibonacci,30,3.713906,2.981245,4.484374,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Botanical vs Voronoi,30,2.148556,1.233251,3.074363,1.1613,1.1463,3.8e-05,0.001568,yes,0.9931
Peak_AF,Botanical vs Hexagonal,30,3.779576,3.0479,4.546046,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Botanical vs Dla,30,1.050765,0.094423,2.037809,0.5317,0.5248,0.044067,0.899925,no,0.5261
Peak_AF,Botanical vs Clusters,30,2.48731,1.676835,3.322231,1.5303,1.5104,1e-06,3.2e-05,yes,0.9999
Peak_AF,Botanical vs Concentric,30,4.223076,3.491886,4.984778,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Botanical vs Reticulate,30,-0.18453,-1.414841,1.045764,-0.0748,-0.0739,0.773081,1.0,no,0.0594
Peak_AF,Random vs Fibonacci,30,1.984163,1.561592,2.432121,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Random vs Voronoi,30,0.418813,-0.279638,1.088591,0.3023,0.2984,0.246665,1.0,no,0.2103
Peak_AF,Random vs Hexagonal,30,2.049832,1.62757,2.505307,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Random vs Dla,30,-0.678978,-1.449849,0.099408,-0.4381,-0.4325,0.095798,1.0,no,0.3856
Peak_AF,Random vs Clusters,30,0.757566,0.231745,1.298483,0.71,0.7008,0.008174,0.212515,no,0.7716
Peak_AF,Random vs Concentric,30,2.493332,2.073758,2.936001,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Random vs Reticulate,30,-1.914274,-3.00703,-0.870862,-0.8946,-0.883,0.001278,0.039631,yes,0.926
Peak_AF,Fibonacci vs Voronoi,30,-1.56535,-2.138865,-1.066258,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Hexagonal,30,0.065669,-0.007204,0.137452,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Dla,30,-2.663141,-3.30595,-2.039942,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Clusters,30,-1.226597,-1.544629,-0.916202,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Concentric,30,0.509169,0.446038,0.57148,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Reticulate,30,-3.898437,-4.883449,-2.962435,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Voronoi vs Hexagonal,30,1.631019,1.130692,2.196259,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Voronoi vs Dla,30,-1.097791,-1.902938,-0.264382,-0.6558,-0.6473,0.013872,0.332938,no,0.7046
Peak_AF,Voronoi vs Clusters,30,0.338753,-0.249488,0.971667,0.2731,0.2695,0.295768,1.0,no,0.1802
Peak_AF,Voronoi vs Concentric,30,2.074519,1.572473,2.63879,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Voronoi vs Reticulate,30,-2.333086,-3.416518,-1.250007,-1.0455,-1.0319,0.000199,0.007777,yes,0.9784
Peak_AF,Hexagonal vs Dla,30,-2.72881,-3.368522,-2.113014,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Hexagonal vs Clusters,30,-1.292266,-1.610376,-0.981675,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Hexagonal vs Concentric,30,0.4435,0.381924,0.508068,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Hexagonal vs Reticulate,30,-3.964106,-4.946971,-3.017327,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Dla vs Clusters,30,1.436544,0.736193,2.153139,1.0104,0.9973,0.00033,0.011872,yes,0.9705
Peak_AF,Dla vs Concentric,30,3.17231,2.542188,3.823612,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Dla vs Reticulate,30,-1.235296,-2.410507,-0.089124,-0.5286,-0.5217,0.045911,0.899925,no,0.5213
Peak_AF,Clusters vs Concentric,30,1.735766,1.436011,2.043267,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Clusters vs Reticulate,30,-2.67184,-3.705028,-1.681738,-1.3039,-1.287,1.4e-05,0.000605,yes,0.9987
Peak_AF,Concentric vs Reticulate,30,-4.407606,-5.39379,-3.474877,n/a,n/a,n/a,n/a,n/a,n/a
