k0_base,beta_loss_factor,Q_individual,seed,curve_sep_botanical_vs_random,curve_sep_botanical_vs_fractal,curve_sep_botanical_vs_voronoi,finding_holds
0.002,0.1,3.0,53,-0.4858,0.5465,-0.2037,True
0.002,0.1,3.0,54,0.2378,0.6486,0.295,False
0.002,0.1,3.0,55,0.7216,1.2692,-0.0335,False
0.002,0.1,3.0,56,0.8633,1.3831,-0.0091,False
0.002,0.1,3.0,57,1.5694,2.4997,0.5556,False
0.002,0.1,3.0,58,0.0277,1.2003,1.3744,False
0.002,0.1,3.0,59,0.2868,1.2263,0.761,False
0.002,0.1,3.0,60,1.2226,0.7034,-0.2205,False
0.002,0.1,3.0,61,-0.426,0.0788,-0.3527,True
0.002,0.1,3.0,62,0.645,1.2832,-0.0977,False
0.002,0.1,3.0,63,0.5259,1.9132,0.2219,False
0.002,0.1,3.0,64,-0.5559,0.1734,-0.4062,True
0.002,0.1,3.0,65,0.359,0.8377,0.3548,False
0.002,0.1,3.0,66,1.7194,1.6782,0.6863,False
0.002,0.1,3.0,67,-0.7057,0.105,-0.4592,True
0.002,0.1,3.0,68,0.2359,0.6965,0.5733,False
0.002,0.1,3.0,69,0.9348,1.4041,0.1833,False
0.002,0.1,3.0,70,-0.3743,0.4608,0.266,False
0.002,0.1,3.0,71,-0.3214,0.4728,0.177,False
0.002,0.2,0.5,42,0.4416,0.6308,0.4042,False
0.002,0.2,0.5,43,0.0809,0.7525,0.3792,False
0.002,0.2,0.5,44,2.0845,2.9289,2.0634,False
0.002,0.2,0.5,45,0.4672,0.9369,-0.1704,False
0.002,0.2,0.5,46,0.3976,1.4902,0.4818,False
0.002,0.2,0.5,47,0.5702,1.4722,0.3588,False
0.002,0.2,0.5,48,0.4263,0.6526,-0.2544,False
0.002,0.2,0.5,49,0.4509,1.5864,1.0854,False
0.002,0.2,0.5,50,0.7391,1.1325,-0.1109,False
0.002,0.2,0.5,51,0.4529,1.7341,0.2878,False
0.002,0.2,0.5,52,0.414,2.7996,3.1358,False
0.002,0.2,0.5,53,-0.4894,0.5535,-0.2042,True
0.002,0.2,0.5,54,0.2457,0.6608,0.3041,False
0.002,0.2,0.5,55,0.732,1.286,-0.0364,False
0.002,0.2,0.5,56,0.8731,1.4095,-0.0046,False
0.002,0.2,0.5,57,1.585,2.5223,0.5618,False
0.002,0.2,0.5,58,0.0285,1.2177,1.4154,False
0.002,0.2,0.5,59,0.2896,1.2479,0.7817,False
0.002,0.2,0.5,60,1.2659,0.7282,-0.2178,False
0.002,0.2,0.5,61,-0.4312,0.0789,-0.3567,True
0.002,0.2,0.5,62,0.6479,1.3095,-0.0945,False
0.002,0.2,0.5,63,0.5315,1.9498,0.2277,False
0.002,0.2,0.5,64,-0.5604,0.1742,-0.4117,True
0.002,0.2,0.5,65,0.3707,0.87,0.3734,False
0.002,0.2,0.5,66,1.7435,1.696,0.6919,False
0.002,0.2,0.5,67,-0.7058,0.1184,-0.4551,True
0.002,0.2,0.5,68,0.2387,0.7,0.5853,False
0.002,0.2,0.5,69,0.95,1.4379,0.189,False
0.002,0.2,0.5,70,-0.3738,0.4711,0.2782,False
