Metric,Pair,N,mean_diff,CI_lower,CI_upper,Cohens_d,Hedges_g,p_raw,p_holm,Significant_holm,power
Peak_AF,Botanical vs Random,30,-0.00994,-0.015503,-0.004195,-0.861,-0.8498,0.001494,0.076196,no,0.9064
Peak_AF,Botanical vs Fibonacci,30,0.018714,0.014848,0.022945,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Botanical vs Voronoi,30,-0.01905,-0.026962,-0.011216,-1.1856,-1.1702,3.3e-05,0.001799,yes,0.9947
Peak_AF,Botanical vs Hexagonal,30,0.015037,0.01114,0.019264,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Botanical vs Dla,30,-0.007294,-0.014199,-0.00054,-0.5258,-0.519,0.046684,1.0,no,0.5171
Peak_AF,Botanical vs Clusters,30,0.014379,0.010248,0.018809,1.6551,1.6336,0.0,1.2e-05,yes,1.0
Peak_AF,Botanical vs Concentric,30,0.013518,0.009423,0.017894,1.5701,1.5497,1e-06,3.7e-05,yes,1.0
Peak_AF,Botanical vs Reticulate,30,-0.017056,-0.024034,-0.010149,-1.2246,-1.2087,1.6e-05,0.000911,yes,0.9966
Peak_AF,Random vs Fibonacci,30,0.028654,0.024701,0.032916,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Random vs Voronoi,30,-0.00911,-0.017094,-0.001136,-0.5687,-0.5613,0.032576,1.0,no,0.5816
Peak_AF,Random vs Hexagonal,30,0.024977,0.020968,0.029222,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Random vs Dla,30,0.002646,-0.004315,0.009352,0.1915,0.189,0.46149,1.0,no,0.1129
Peak_AF,Random vs Clusters,30,0.02432,0.020074,0.028793,2.8293,2.7926,0.0,0.0,yes,1.0
Peak_AF,Random vs Concentric,30,0.023459,0.019233,0.027854,2.7546,2.7188,0.0,0.0,yes,1.0
Peak_AF,Random vs Reticulate,30,-0.007115,-0.014166,-0.000381,-0.513,-0.5063,0.05214,1.0,no,0.4976
Peak_AF,Fibonacci vs Voronoi,30,-0.037764,-0.044797,-0.031115,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Hexagonal,30,-0.003677,-0.004121,-0.003215,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Dla,30,-0.026008,-0.031662,-0.020826,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Clusters,30,-0.004334,-0.00575,-0.002889,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Concentric,30,-0.005195,-0.006541,-0.003863,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fibonacci vs Reticulate,30,-0.03577,-0.041652,-0.030324,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Voronoi vs Hexagonal,30,0.034087,0.027349,0.041144,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Voronoi vs Dla,30,0.011756,0.002815,0.020613,0.6616,0.653,0.013135,0.59106,no,0.7122
Peak_AF,Voronoi vs Clusters,30,0.03343,0.026584,0.040639,2.3711,2.3403,0.0,0.0,yes,1.0
Peak_AF,Voronoi vs Concentric,30,0.032569,0.025714,0.039594,2.318,2.2879,0.0,0.0,yes,1.0
Peak_AF,Voronoi vs Reticulate,30,0.001994,-0.007078,0.010949,0.112,0.1105,0.666212,1.0,no,0.0711
Peak_AF,Hexagonal vs Dla,30,-0.022331,-0.028052,-0.017177,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Hexagonal vs Clusters,30,-0.000657,-0.002096,0.00081,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Hexagonal vs Concentric,30,-0.001518,-0.002892,-0.000171,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Hexagonal vs Reticulate,30,-0.032092,-0.038016,-0.026677,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Dla vs Clusters,30,0.021674,0.01622,0.027559,1.8792,1.8548,0.0,2e-06,yes,1.0
Peak_AF,Dla vs Concentric,30,0.020813,0.015362,0.026635,1.8138,1.7903,0.0,4e-06,yes,1.0
Peak_AF,Dla vs Reticulate,30,-0.009761,-0.017759,-0.001797,-0.6155,-0.6075,0.020427,0.898783,no,0.6496
Peak_AF,Clusters vs Concentric,30,-0.000861,-0.002818,0.001022,-0.2246,-0.2216,0.388081,1.0,no,0.1371
Peak_AF,Clusters vs Reticulate,30,-0.031435,-0.037519,-0.025896,-2.71,-2.6748,0.0,0.0,yes,1.0
Peak_AF,Concentric vs Reticulate,30,-0.030574,-0.036549,-0.024936,-2.6492,-2.6148,0.0,0.0,yes,1.0
